age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
18, Private,159461, Some-college,12, Married-civ-spouse, Machine-op-inspct, Unmarried, White, Male,36,-3,50, United-States, <=50K
15, Private,22204, HS-grad,8, Married-civ-spouse, Prof-specialty, Unmarried, White, Male,14061,2,40, United-States, <=50K
32, Self-emp-not-inc,48230, Some-college,9, Divorced, Adm-clerical, Own-child, Asian-Pac-Islander, Male,0,2087,58, United-States, >50K
44, Private,110546, Bachelors,8, Married-spouse-absent, Sales, Husband, Black, Male,75,-1,39, United-States, >50K
35, Private,341420, Bachelors,9, Married-civ-spouse, Other-service, Own-child, White, Male,48,7,55, United-States, >50K
23, Private,359656, Preschool,8, Never-married, Craft-repair, Husband, Black, Female,-39,1,49, United-States, <=50K
35, Private,39041, Assoc-acdm,13, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Male,2,0,40, United-States, <=50K
54, Private,258210, Some-college,9, Never-married, Adm-clerical, Husband, White, Male,22,1,39, United-States, <=50K
37, Private,179044, Assoc-voc,9, Married-civ-spouse, Prof-specialty, Husband, White, Male,51,-3,40, United-States, <=50K
45, Private,101901, Bachelors,8, Divorced, ?, Own-child, Black, Female,16221,2,94, Laos, <=50K
59, Private,106949, Masters,5, Never-married, Other-service, Unmarried, White, Male,24,-2,17, United-States, <=50K
28, ?,325533, HS-grad,2, Divorced, Other-service, Husband, White, Male,-19,3,38, United-States, <=50K
17, Private,183818, HS-grad,9, Divorced, Other-service, Unmarried, White, Male,40,-2,52, United-States, <=50K
26, Local-gov,204221, 9th,9, Married-civ-spouse, ?, Husband, White, Male,-53,0,31, Haiti, <=50K
41, Private,227376, Bachelors,13, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,26,0,40, United-States, >50K
49, Self-emp-inc,65550, Some-college,10, Never-married, ?, Husband, Amer-Indian-Eskimo, Female,-21,5,97, United-States, >50K
39, ?,110417, HS-grad,8, Married-civ-spouse, Other-service, Own-child, White, Female,-72,-3,40, Honduras, >50K
16, Private,127783, Some-college,12, Married-civ-spouse, Adm-clerical, Own-child, White, Male,-47,0,35, United-States, <=50K
46, Self-emp-inc,60788, 12th,12, Married-civ-spouse, ?, Husband, White, Male,-8,3,45, Puerto-Rico, <=50K
49, Local-gov,135890, 11th,9, Married-civ-spouse, ?, Husband, Other, Female,41,0,34, Puerto-Rico, <=50K
56, Federal-gov,201309, Assoc-acdm,12, Divorced, ?, Husband, White, Male,-101,2,40, United-States, <=50K
38, ?,109772, Some-college,9, Married-spouse-absent, Adm-clerical, Unmarried, White, Male,28,-4,40, United-States, <=50K
33, Self-emp-inc,126998, HS-grad,9, Divorced, ?, Other-relative, Black, Male,-122,0,39, United-States, <=50K
44, State-gov,178521, Some-college,14, Divorced, Craft-repair, Husband, White, Male,14,0,40, United-States, <=50K
25, Private,171934, Assoc-acdm,9, Married-spouse-absent, Prof-specialty, Husband, White, Male,-68,-1,29, United-States, <=50K
19, Private,87095, Assoc-voc,7, Married-civ-spouse, Exec-managerial, Husband, White, Female,-55,4,38, United-States, <=50K
48, Self-emp-not-inc,49820, HS-grad,9, Married-AF-spouse, Exec-managerial, Other-relative, White, Male,3307,3,93, United-States, <=50K
28, State-gov,135751, Assoc-acdm,12, Married-civ-spouse, Sales, Own-child, White, Male,-11,5,62, United-States, <=50K
33, Private,155714, Prof-school,2, Never-married, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,14,2,90, United-States, >50K
38, Self-emp-not-inc,171694, 11th,15, Widowed, Protective-serv, Husband, White, Female,-111,1,40, United-States, <=50K
27, Local-gov,189034, Some-college,9, Divorced, Exec-managerial, Not-in-family, Black, Male,14111,-2,40, Columbia, <=50K
49, Private,192362, Bachelors,10, Married-civ-spouse, Prof-specialty, Husband, White, Female,-47,1,20, United-States, >50K
34, Private,219725, Prof-school,13, Married-civ-spouse, Other-service, Other-relative, Black, Male,-48,-2,39, United-States, <=50K
28, Private,155251, Masters,14, Married-civ-spouse, Protective-serv, Husband, White, Male,2865,3,39, United-States, <=50K
26, Private,206068, Assoc-voc,13, Never-married, Priv-house-serv, Not-in-family, White, Male,-16,2,40, United-States, >50K
48, Private,42525, 9th,13, Never-married, Craft-repair, Husband, White, Female,96,1,38, United-States, <=50K
53, Never-worked,302617, Bachelors,1, Never-married, Handlers-cleaners, Unmarried, White, Male,3959,-2,39, United-States, <=50K
65, Private,101547, HS-grad,9, Married-civ-spouse, Craft-repair, Other-relative, White, Male,-27,3,40, United-States, >50K
38, Private,134658, Some-college,9, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,-49,3,24, United-States, <=50K
39, Private,388585, HS-grad,3, Married-civ-spouse, Adm-clerical, Husband, White, Male,49,-4,63, United-States, <=50K
34, Private,416659, 12th,15, Married-civ-spouse, Adm-clerical, Husband, White, Female,68,4,40, United-States, <=50K
27, Private,120197, Assoc-voc,1, Married-civ-spouse, ?, Husband, Asian-Pac-Islander, Male,15,0,7, United-States, <=50K
19, Private,164777, Bachelors,10, Divorced, Machine-op-inspct, Not-in-family, White, Female,80,0,40, United-States, >50K
32, Private,167353, Bachelors,8, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,89,0,36, United-States, <=50K
26, Private,116570, Prof-school,9, Never-married, Machine-op-inspct, Unmarried, White, Male,-9,4,40, United-States, <=50K
46, Private,199614, Masters,9, Divorced, Armed-Forces, Husband, White, Male,-124,0,39, United-States, <=50K
27, Local-gov,330555, Bachelors,9, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,57,2,40, Mexico, >50K
65, Private,189610, Some-college,11, Never-married, Tech-support, Other-relative, White, Female,-61,1,39, United-States, <=50K
45, Private,118234, HS-grad,8, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,-74,2,39, United-States, >50K
43, State-gov,142158, Assoc-voc,9, Married-civ-spouse, ?, Wife, White, Male,31,0,40, United-States, <=50K
37, Private,151433, Bachelors,5, Married-civ-spouse, ?, Husband, White, Male,-10,2,40, United-States, >50K
41, Private,151529, Some-college,9, Divorced, Adm-clerical, Husband, Amer-Indian-Eskimo, Male,50,0,48, United-States, <=50K
29, Private,202007, Masters,5, Divorced, ?, Other-relative, White, Female,45,-4,64, United-States, <=50K
58, Private,195712, Some-college,8, Never-married, Craft-repair, Own-child, White, Male,-5,0,39, United-States, <=50K
